Source,Earthquake ID,Version,Datetime,Magnitude,Depth,Number of Stations,Region,Location
nn,00388458,9,09/13/2012 03:01:49 AM,1.6,8.5,13,Nevada,"(38.4239, -118.4548)"
ci,15214849,2,09/13/2012 02:48:21 AM,1.6,5.1,90,Southern California,"(34.265, -116.7722)"
us,c000cmnq,8,09/13/2012 02:42:20 AM,4.5,10,22,Iraq,"(36.7417, 43.5987)"
ci,15214841,2,09/13/2012 02:24:50 AM,1.3,9.2,59,"Greater Los Angeles area, California","(33.9007, -117.798)"
ak,10558575,1,09/13/2012 02:11:55 AM,1.6,0.1,12,Central Alaska,"(64.5804, -149.5157)"
us,c000cmnf,5,09/13/2012 01:55:02 AM,5.2,89.4,132,Fiji region,"(-18.7618, 175.7803)"
nc,71841485,2,09/13/2012 01:37:04 AM,2.2,10.2,41,Northern California,"(39.2808, -120.4552)"
ak,10558553,1,09/13/2012 01:19:40 AM,2.8,67.1,28,Southern Alaska,"(59.5238, -152.3474)"
ak,10558548,1,09/13/2012 01:12:35 AM,1.7,0,7,Central Alaska,"(64.8788, -151.0138)"
pr,12257000,0,09/13/2012 12:27:20 PM,3.3,40,6,Virgin Islands region,"(19.6368, -64.2229)"
us,c000cmlt,8,09/13/2012 12:22:32 PM,4.7,47.7,152,"Gulf of Paria, Venezuela","(10.3383, -62.3523)"
ci,15214809,2,09/13/2012 12:01:52 PM,1.1,5,42,Southern California,"(34.1457, -116.7058)"
hv,60397226,1,09/12/2012 11:55:45 AM,1.8,31.3,16,"Island of Hawaii, Hawaii","(19.1888, -155.4935)"
ak,10558538,2,09/12/2012 11:49:18 AM,2.2,83.9,10,"Andreanof Islands, Aleutian Islands, Alaska","(51.8968, -176.3094)"
ci,37090236,2,09/12/2012 11:48:04 AM,1.2,8.1,21,Southern California,"(32.6747, -115.9652)"
ci,15214801,2,09/12/2012 11:47:31 AM,1.5,9.9,37,Southern California,"(32.6602, -115.9625)"
ci,15214793,2,09/12/2012 11:44:37 AM,1.6,0,25,Southern California,"(35.0453, -117.6707)"
pr,12256010,0,09/12/2012 11:24:01 AM,3.3,59,9,Virgin Islands region,"(19.5785, -64.125)"
nc,71841460,3,09/12/2012 11:16:16 AM,1.8,7.4,43,Central California,"(36.1627, -120.0162)"
ak,10558512,1,09/12/2012 10:44:03 AM,1.9,96.6,20,Central Alaska,"(62.843, -150.5739)"
ci,15214785,2,09/12/2012 10:37:45 AM,2.1,14.8,49,"Santa Monica Bay, California","(33.991, -118.7148)"
ak,10558504,1,09/12/2012 10:36:10 AM,1.4,4.7,8,Central Alaska,"(63.5974, -147.282)"
nc,71841445,0,09/12/2012 10:05:45 AM,1.6,9.3,7,Northern California,"(38.421, -122.4865)"
uu,09122204,2,09/12/2012 10:04:48 AM,1,4.4,7,Utah,"(41.1368, -112.9098)"
uu,09122156,2,09/12/2012 09:56:32 AM,1.5,4.5,8,Utah,"(38.9657, -112.9317)"
us,c000cmit,6,09/12/2012 09:52:17 AM,5.4,10,92,South Indian Ocean,"(-23.9148, 82.9505)"
nc,71841440,0,09/12/2012 09:42:48 AM,1.1,2.1,17,Northern California,"(38.8238, -122.784)"
uw,60451002,2,09/12/2012 09:32:02 AM,1.6,0,22,"Puget Sound region, Washington","(48.0922, -121.9545)"
ak,10558474,1,09/12/2012 09:12:57 AM,1.4,0.1,9,Central Alaska,"(64.7061, -149.25)"
uw,60450992,3,09/12/2012 08:53:24 AM,1.9,0,15,Oregon,"(45.7477, -123.4565)"
ci,15214777,2,09/12/2012 08:41:59 AM,2.6,12.6,136,Southern California,"(33.932, -116.7303)"
uw,60450982,1,09/12/2012 08:31:16 AM,1.4,0,12,"Puget Sound region, Washington","(46.9968, -122.9883)"
pr,12256009,0,09/12/2012 08:10:27 AM,3.1,40,28,Virgin Islands region,"(18.8719, -64.47)"
ak,10558289,2,09/12/2012 08:09:35 AM,1.3,94.1,8,Central Alaska,"(62.8344, -150.6903)"
ak,10558274,1,09/12/2012 07:45:04 AM,2.6,85.7,19,Southern Alaska,"(59.0834, -153.1416)"
ci,15214761,2,09/12/2012 07:41:44 AM,1.5,9.2,52,Southern California,"(32.9718, -116.3507)"
ak,10558259,1,09/12/2012 07:32:09 AM,2,1.2,8,"Kenai Peninsula, Alaska","(59.9148, -150.5205)"
us,c000cmah,7,09/12/2012 07:29:55 AM,5.1,188.6,182,"Hindu Kush region, Afghanistan","(36.6867, 71.3666)"
ci,15214753,2,09/12/2012 07:28:52 AM,1.3,0,28,"Greater Los Angeles area, California","(33.845, -117.4958)"
nc,71841425,0,09/12/2012 07:27:50 AM,1.5,15.6,9,"San Francisco Bay area, California","(37.977, -122.0423)"
ak,10558255,2,09/12/2012 07:21:10 AM,1.3,10.3,12,Southern Alaska,"(61.7836, -141.1427)"
nc,71841420,1,09/12/2012 07:14:38 AM,1.8,2.3,33,Northern California,"(38.8235, -122.785)"
nc,71841400,2,09/12/2012 06:43:54 AM,1.7,0,36,Central California,"(36.7525, -121.596)"
ak,10558239,2,09/12/2012 06:38:23 AM,1.4,108.6,11,Central Alaska,"(63.0531, -150.6362)"
ci,15214737,2,09/12/2012 06:34:30 AM,1.2,0,15,Southern California,"(35.0527, -118.35)"
nc,71841385,2,09/12/2012 06:31:46 AM,1.9,5.9,61,Northern California,"(38.4842, -122.5728)"
nc,71841370,1,09/12/2012 06:11:57 AM,1.1,3.4,23,Northern California,"(38.8262, -122.8043)"
ci,15214681,2,09/12/2012 05:35:36 AM,1,14.7,46,Southern California,"(33.475, -116.5202)"
nm,091312b,A,09/12/2012 05:32:40 AM,1.2,8.6,10,southeastern Missouri,"(36.4858, -89.5478)"
ak,10558220,2,09/12/2012 05:30:36 AM,2.8,56,8,"Fox Islands, Aleutian Islands, Alaska","(52.0261, -169.3906)"
ci,15214641,2,09/12/2012 05:13:28 AM,2,0,11,Southern California,"(33.0605, -114.9848)"
ci,15214609,2,09/12/2012 04:57:13 AM,1.4,6.1,19,Central California,"(36.9667, -117.4922)"
ak,10558198,2,09/12/2012 04:48:33 AM,1.3,103.4,11,Central Alaska,"(63.1234, -150.1869)"
nc,71841340,0,09/12/2012 03:54:16 AM,1.2,2.9,15,Northern California,"(38.7738, -122.7158)"
nc,71841330,0,09/12/2012 03:43:30 AM,1,1.4,19,Northern California,"(38.8092, -122.7905)"
ci,15214553,2,09/12/2012 03:29:32 AM,1.3,4.2,8,Central California,"(37.08, -117.3535)"
ak,10558164,2,09/12/2012 03:26:46 AM,3.3,27.4,7,"Fox Islands, Aleutian Islands, Alaska","(51.8582, -169.3191)"
ci,15214545,2,09/12/2012 03:20:44 AM,1.7,8.2,45,Central California,"(35.8338, -117.5462)"
nc,71841305,2,09/12/2012 03:05:42 AM,1.1,4.8,23,Central California,"(36.1013, -120.6547)"
ak,10558151,1,09/12/2012 03:00:37 AM,1.3,81.2,8,Central Alaska,"(62.9703, -149.6963)"
ci,15214537,2,09/12/2012 02:54:17 AM,1.6,6.2,32,Central California,"(36.3797, -117.4842)"
ci,15214521,2,09/12/2012 02:49:47 AM,1.9,10,38,Southern California,"(34.3195, -116.4635)"
nn,00388374,9,09/12/2012 02:49:29 AM,1.2,5.4,14,Northern California,"(38.645, -119.7795)"
pr,12256008,0,09/12/2012 02:48:15 AM,3.3,13,5,Virgin Islands region,"(19.3307, -64.7239)"
ci,15214513,2,09/12/2012 02:26:43 AM,1.5,10.2,52,Southern California,"(34.3202, -116.4628)"
us,2012fka5,6,09/12/2012 02:23:04 AM,4.9,4.1,33,Philippine Islands region,"(10.3911, 126.7162)"
nc,71841280,1,09/12/2012 02:21:52 AM,1.8,1.6,26,Northern California,"(38.8168, -122.8003)"
ci,15214505,4,09/12/2012 02:11:57 AM,1.9,11,67,Southern California,"(32.9727, -116.3528)"
ak,10558142,2,09/12/2012 02:04:15 AM,1.9,14.5,8,Southeastern Alaska,"(59.7162, -136.0281)"
us,c000clza,6,09/12/2012 01:46:08 AM,4.6,52.4,82,"Rat Islands, Aleutian Islands, Alaska","(51.1925, 178.6697)"
nc,71841270,0,09/12/2012 01:40:35 AM,1.1,1.8,19,Northern California,"(38.8113, -122.8258)"
ci,37090260,4,09/12/2012 01:16:24 AM,1.6,11,26,Southern California,"(34.3177, -116.467)"
ci,15214489,8,09/12/2012 01:16:19 AM,1.5,6.6,8,Nevada,"(37.1075, -117.3453)"
nc,71841255,3,09/12/2012 01:09:47 AM,1.8,7.2,41,Central California,"(37.5208, -118.8263)"
hv,60397106,1,09/12/2012 12:54:42 PM,2.1,20.5,39,"Island of Hawaii, Hawaii","(19.7988, -155.4165)"
ci,15214465,4,09/12/2012 12:40:23 PM,1.8,6.2,65,Southern California,"(34.3052, -116.4683)"
ci,15214473,2,09/12/2012 12:38:26 PM,1,5.1,24,Central California,"(36.2067, -117.9458)"
ci,15214457,2,09/12/2012 12:32:18 PM,1.5,12,20,Southern California,"(34.3175, -116.4768)"
pr,12256007,0,09/12/2012 12:10:46 PM,3.1,70,4,Virgin Islands region,"(19.534, -64.168)"
ci,37090196,2,09/12/2012 11:59:09 AM,1.7,10.2,22,Southern California,"(34.331, -116.4508)"
ci,15214441,2,09/12/2012 11:59:07 AM,1.5,9.7,41,Southern California,"(34.323, -116.4645)"
ci,15214433,2,09/12/2012 11:51:01 AM,1,9,50,Southern California,"(34.3173, -116.4628)"
ci,15214425,0,09/12/2012 11:50:17 AM,1.4,2.4,52,Southern California,"(34.3005, -116.4785)"
ci,15214417,2,09/12/2012 11:38:45 AM,1.3,9,22,Southern California,"(34.3123, -116.4648)"
ak,10558111,1,09/12/2012 11:38:37 AM,2.1,36.4,13,Southern Alaska,"(60.6646, -152.082)"
pr,12256006,0,09/12/2012 11:33:17 AM,3.1,128,7,Puerto Rico,"(18.4281, -66.6695)"
us,c000clxn,9,09/12/2012 11:27:51 AM,5.2,87.4,193,Solomon Islands,"(-10.1105, 161.0712)"
ci,15214409,2,09/12/2012 11:12:49 AM,1.2,0,22,Central California,"(34.8718, -120.5865)"
ak,10558103,1,09/12/2012 10:57:22 AM,2.1,30.3,30,Southern Alaska,"(61.9989, -147.6627)"
uu,09121045,2,09/12/2012 10:45:31 AM,1.1,15,12,Utah,"(39.2363, -110.4678)"
pr,12256005,0,09/12/2012 10:26:26 AM,3.1,47,3,Virgin Islands region,"(19.3323, -63.8544)"
pr,12256004,0,09/12/2012 10:25:07 AM,3.4,50,4,Virgin Islands region,"(19.5566, -64.3864)"
ak,10558096,1,09/12/2012 10:17:50 AM,1.3,50.8,6,Southern Alaska,"(61.3715, -150.3422)"
ak,10558095,2,09/12/2012 10:07:36 AM,1.1,14.3,11,Southern Alaska,"(61.3845, -149.6108)"
us,c000clwn,8,09/12/2012 09:37:29 AM,4.8,15.4,57,"southwestern Ryukyu Islands, Japan","(24.9896, 123.1919)"
ci,15214377,2,09/12/2012 09:31:11 AM,1.4,12.2,79,Southern California,"(34.1535, -116.9873)"
us,c000clwe,8,09/12/2012 09:20:54 AM,4.7,101.8,171,"Mendoza, Argentina","(-32.4845, -68.523)"
ci,15214369,2,09/12/2012 09:19:01 AM,1.5,2.1,24,Southern California,"(33.281, -115.7168)"
uu,09120912,2,09/12/2012 09:12:15 AM,1,3.1,7,Utah,"(38.6873, -112.1535)"
ci,15214361,2,09/12/2012 08:58:16 AM,1.7,3.7,70,Southern California,"(33.2783, -115.712)"
ak,10558079,2,09/12/2012 08:38:05 AM,1.3,104.8,13,Central Alaska,"(63.8065, -148.5815)"
ci,15214353,2,09/12/2012 08:37:31 AM,1.3,1.5,38,Central California,"(35.9978, -117.7932)"
ci,15214345,2,09/12/2012 08:33:49 AM,1.6,3.1,35,Southern California,"(33.281, -115.7187)"
ak,10558067,1,09/12/2012 08:09:56 AM,2.1,1.4,13,northern Alaska,"(66.1299, -150.5288)"
ak,10558066,2,09/12/2012 08:08:58 AM,1.3,45.6,15,Central Alaska,"(62.1811, -149.7606)"
ak,10558062,1,09/12/2012 07:58:01 AM,1.5,47.7,5,Southern Alaska,"(61.8831, -149.9047)"
ak,10558056,1,09/12/2012 07:36:24 AM,1.5,24.4,6,Central Alaska,"(62.1314, -149.5909)"
ci,15214329,0,09/12/2012 07:33:38 AM,1.1,10.5,8,Southern California,"(35.6535, -117.2807)"
ci,15214337,4,09/12/2012 07:32:19 AM,1.1,7,32,Southern California,"(33.1995, -116.0093)"
ak,10558053,2,09/12/2012 07:21:18 AM,1.2,53.2,9,Southern Alaska,"(61.9504, -150.5972)"
us,c000clv7,4,09/12/2012 07:18:42 AM,4.6,10.2,63,"southwestern Ryukyu Islands, Japan","(24.9844, 123.1346)"
hv,60396806,1,09/12/2012 07:08:07 AM,3,33.1,11,"Island of Hawaii, Hawaii","(19.4192, -155.2888)"
ci,15214321,2,09/12/2012 07:03:37 AM,1.7,1.8,47,Central California,"(36.0505, -117.6087)"
ak,10558041,1,09/12/2012 06:56:07 AM,1.8,18.3,12,Southern Alaska,"(60.387, -146.1496)"
ak,10558023,2,09/12/2012 06:42:14 AM,3.8,68.1,45,"Kenai Peninsula, Alaska","(60.2451, -151.9652)"
us,c000clum,7,09/12/2012 06:29:35 AM,4.8,35,241,off the coast of Costa Rica,"(9.5266, -85.19)"
nc,71841195,2,09/12/2012 06:22:49 AM,1.7,6.8,21,Northern California,"(39.2223, -123.1777)"
nn,00388356,9,09/12/2012 05:51:10 AM,2.7,0,5,Nevada,"(41.2251, -117.4855)"
us,c000cluh,5,09/12/2012 05:50:53 AM,4.6,28.4,36,Kyrgyzstan,"(41.7737, 71.9543)"
nc,71841180,1,09/12/2012 05:48:40 AM,1.9,1.5,33,Northern California,"(38.807, -122.7917)"
nc,71841175,1,09/12/2012 05:40:22 AM,1.1,1.6,25,Northern California,"(38.8075, -122.7918)"
us,c000clua,6,09/12/2012 05:23:17 AM,4.5,46,57,near the north coast of Colombia,"(9.2149, -77.7881)"
ak,10558007,2,09/12/2012 05:12:12 AM,1.4,44.4,18,Southern Alaska,"(61.2749, -150.4985)"
us,c000clu8,5,09/12/2012 05:00:24 AM,4.2,10.1,48,southern Greece,"(36.7554, 24.1902)"
pr,12256003,0,09/12/2012 04:50:39 AM,3,25,5,north of the Virgin Islands,"(19.7574, -64.3141)"
hv,60396741,1,09/12/2012 04:48:58 AM,2,3.8,26,"Island of Hawaii, Hawaii","(19.3842, -155.2433)"
us,c000clu1,6,09/12/2012 04:28:14 AM,5.6,65.7,214,"New Britain region, Papua New Guinea","(-5.0672, 152.1305)"
nc,71841145,4,09/12/2012 04:28:08 AM,1.7,2.3,57,Northern California,"(38.8272, -122.8042)"
nc,71841140,2,09/12/2012 04:15:19 AM,1.5,15.4,35,"San Francisco Bay area, California","(37.9745, -122.046)"
us,c000clu5,3,09/12/2012 04:10:52 AM,4.4,34.9,50,off the coast of Costa Rica,"(9.6354, -85.1219)"
pr,12256001,0,09/12/2012 04:04:36 AM,2.6,25,3,Virgin Islands region,"(19.6089, -64.3795)"
pr,12256000,0,09/12/2012 04:02:56 AM,3.6,38,12,Virgin Islands region,"(19.648, -64.2751)"
nc,71841135,2,09/12/2012 04:00:24 AM,1.1,9.4,19,Central California,"(36.6385, -121.0992)"
us,c000cltl,6,09/12/2012 03:27:45 AM,5.5,27.4,83,"Crete, Greece","(34.8112, 24.0642)"
pr,12256002,0,09/12/2012 03:11:20 AM,2.7,18,9,Puerto Rico region,"(18.0464, -65.4975)"
ak,10557959,2,09/12/2012 02:59:31 AM,1.2,62.3,12,Central Alaska,"(62.1679, -150.8876)"
us,c000cltd,3,09/12/2012 02:57:26 AM,5,10,43,Southwest Indian Ridge,"(-40.0125, 46.035)"
uu,09120254,2,09/12/2012 02:54:39 AM,1.1,2.7,7,Utah,"(39.4402, -111.204)"
nc,71841120,2,09/12/2012 02:50:18 AM,1.4,12.3,18,Central California,"(37.433, -118.5625)"
us,c000clt8,6,09/12/2012 02:13:03 AM,4.6,37.3,157,Costa Rica,"(10.1972, -85.4399)"
ak,10557951,1,09/12/2012 02:11:56 AM,1.3,0.1,7,Southern Alaska,"(61.9013, -149.6873)"
uu,09120159,2,09/12/2012 01:59:43 AM,1,2.5,7,Utah,"(38.716, -112.5453)"
ci,15214281,2,09/12/2012 01:44:12 AM,1.1,3.9,28,Central California,"(36.0913, -117.8687)"
nc,71841100,1,09/12/2012 01:42:25 AM,1.1,3.5,24,Northern California,"(38.8177, -122.8057)"
ak,10557939,1,09/12/2012 01:37:05 AM,1,19.9,6,Southern Alaska,"(61.6561, -141.9286)"
nc,71841085,3,09/12/2012 01:35:26 AM,1.3,3.5,51,Northern California,"(38.8113, -122.7922)"
us,c000clsw,6,09/12/2012 01:13:26 AM,4.6,35,151,off the coast of Central America,"(11.9553, -88.8389)"
uu,09120059,2,09/12/2012 12:59:39 PM,2.3,2.9,20,"Yellowstone National Park, Wyoming","(44.7652, -110.39)"
ak,10557920,1,09/12/2012 12:43:55 PM,1.6,50,6,Alaska Peninsula,"(58.1074, -155.2898)"
nc,71841060,3,09/12/2012 12:40:45 PM,2.1,10.1,46,Central California,"(37.5233, -118.4342)"
nc,71841050,3,09/11/2012 11:55:31 AM,1.8,3,77,Central California,"(35.5817, -120.8362)"
nc,71841055,0,09/11/2012 11:54:56 AM,1,2.2,12,Northern California,"(38.8378, -122.8775)"
ak,10559451,2,09/11/2012 11:47:55 AM,2,134.9,11,Alaska Peninsula,"(58.8527, -154.5082)"
ci,15214249,2,09/11/2012 11:37:45 AM,1.8,0,17,Southern California,"(35.039, -117.6825)"
ak,10557894,3,09/11/2012 11:33:45 AM,1.9,21.2,9,"Fox Islands, Aleutian Islands, Alaska","(52.7007, -168.2594)"
ak,10559449,2,09/11/2012 11:29:50 AM,2.4,5.4,9,"Fox Islands, Aleutian Islands, Alaska","(52.6707, -168.1694)"
nn,00388336,9,09/11/2012 11:28:41 AM,1,9.3,21,Nevada,"(37.2246, -116.9536)"
ak,10557887,3,09/11/2012 11:28:28 AM,3.4,20.3,15,"Fox Islands, Aleutian Islands, Alaska","(52.6983, -168.2286)"
ak,10559447,2,09/11/2012 11:27:20 AM,3.9,25.5,12,"Fox Islands, Aleutian Islands, Alaska","(51.2012, -169.0146)"
ak,10557882,2,09/11/2012 11:12:09 AM,1.6,0,12,Central Alaska,"(64.9987, -147.3277)"
ak,10557877,2,09/11/2012 10:49:40 AM,2.3,50.9,11,"Fox Islands, Aleutian Islands, Alaska","(52.7829, -168.4321)"
ak,10557873,2,09/11/2012 10:46:43 AM,1.7,13,16,Central Alaska,"(63.5208, -150.837)"
ak,10559443,2,09/11/2012 10:34:37 AM,2.1,24.7,7,"Andreanof Islands, Aleutian Islands, Alaska","(51.8569, -173.3734)"
ak,10557864,3,09/11/2012 10:32:43 AM,3.3,19,14,"Fox Islands, Aleutian Islands, Alaska","(52.6475, -168.1953)"
us,c000clqw,8,09/11/2012 10:16:38 AM,4.8,47.9,148,Kuril Islands,"(45.3495, 151.1894)"
ak,10559441,2,09/11/2012 10:12:13 AM,1.5,2.9,14,Alaska Peninsula,"(58.1867, -155.2829)"
ak,10557851,2,09/11/2012 10:05:26 AM,1,9.3,12,Southern Alaska,"(60.1524, -141.0321)"
ak,10557845,2,09/11/2012 09:56:51 AM,1.1,9.4,17,Southern Alaska,"(60.1588, -141.0303)"
nm,091212a,A,09/11/2012 09:51:54 AM,1.4,6,8,Tennessee,"(36.277, -89.4722)"
ak,10559438,2,09/11/2012 09:50:44 AM,1.7,20.4,7,"Fox Islands, Aleutian Islands, Alaska","(52.7217, -168.2655)"
nc,71841020,3,09/11/2012 09:48:57 AM,1.7,3.5,57,Northern California,"(38.8082, -122.794)"
ak,10557831,3,09/11/2012 09:40:12 AM,3.3,53.6,8,"Fox Islands, Aleutian Islands, Alaska","(52.9033, -168.6094)"
uu,09112129,2,09/11/2012 09:29:43 AM,1.6,2.1,8,"Yellowstone National Park, Wyoming","(44.803, -110.4035)"
uu,09112114,2,09/11/2012 09:14:11 AM,2.3,2.4,18,"Yellowstone National Park, Wyoming","(44.7463, -110.3988)"
nc,71841010,2,09/11/2012 09:04:33 AM,2.2,0,8,Northern California,"(39.6087, -121.5663)"
uw,60450672,1,09/11/2012 09:02:17 AM,1.2,15.2,22,Washington,"(47.5213, -121.812)"
us,c000cllu,5,09/11/2012 08:52:06 AM,5,20.8,112,south of the Mariana Islands,"(11.7965, 143.3891)"
ci,15214201,2,09/11/2012 08:16:56 AM,1.4,4.9,19,Southern California,"(32.913, -115.5278)"
ak,10557674,2,09/11/2012 08:05:09 AM,1.5,5.8,11,Southern Alaska,"(60.5373, -152.7108)"
nn,00388312,9,09/11/2012 07:41:40 AM,2.9,0,7,Nevada,"(41.237, -117.4637)"
nc,71840980,2,09/11/2012 07:39:52 AM,1.6,0,10,"San Francisco Bay area, California","(37.3215, -122.1032)"
ak,10557658,2,09/11/2012 07:38:11 AM,1.8,43,8,Alaska Peninsula,"(54.8, -161.4609)"
ak,10557651,2,09/11/2012 07:32:46 AM,2.2,25.5,10,"Fox Islands, Aleutian Islands, Alaska","(52.7103, -168.2506)"
ci,15214169,2,09/11/2012 07:32:39 AM,1.6,8.3,94,Southern California,"(33.2805, -116.2768)"
nc,71840970,2,09/11/2012 07:29:15 AM,2,12.6,24,Northern California,"(40.2402, -124.1113)"
uw,60450627,1,09/11/2012 07:28:58 AM,2.2,0,16,Washington,"(47.337, -117.856)"
us,c000clgm,7,09/11/2012 07:24:59 AM,4.9,16.8,179,south of Panama,"(6.0193, -82.4822)"
ak,10559431,2,09/11/2012 07:18:48 AM,2.2,4.2,7,"Rat Islands, Aleutian Islands, Alaska","(51.9406, 178.456)"
ak,10559430,2,09/11/2012 07:10:50 AM,1.8,28.2,10,"Unimak Island region, Alaska","(53.8866, -163.7465)"
ak,10559429,2,09/11/2012 07:04:40 AM,1.1,79.8,10,Central Alaska,"(62.8723, -149.6039)"
uw,60450607,1,09/11/2012 07:04:27 AM,1,0,9,Oregon,"(43.4345, -123.0163)"
ak,10559428,2,09/11/2012 06:57:19 AM,2.4,12.9,6,Central Alaska,"(64.5667, -158.8001)"
ak,10559427,2,09/11/2012 06:53:48 AM,1.6,68.5,8,Southern Alaska,"(59.5137, -152.6822)"
nc,71840955,3,09/11/2012 06:39:38 AM,2.3,2.5,66,Northern California,"(38.8322, -122.8782)"
ak,10559426,2,09/11/2012 06:39:04 AM,1.8,72.6,14,Alaska Peninsula,"(57.8101, -155.0913)"
us,c000cled,2,09/11/2012 06:15:35 AM,2.6,23.1,4,"Fox Islands, Aleutian Islands, Alaska","(52.9173, -168.2071)"
nc,71841380,2,09/11/2012 06:10:48 AM,1.5,8.9,12,Northern California,"(41.04, -121.6413)"
us,c000cle4,8,09/11/2012 06:10:09 AM,5.1,28.9,171,Philippine Islands region,"(10.7339, 126.774)"
ak,10557625,3,09/11/2012 06:07:39 AM,1.3,4.1,9,Central Alaska,"(63.2388, -151.6632)"
ak,10559423,2,09/11/2012 06:06:09 AM,1.9,4.1,7,"Rat Islands, Aleutian Islands, Alaska","(51.9618, 178.5284)"
ak,10557609,3,09/11/2012 06:04:47 AM,2,20.7,8,"Fox Islands, Aleutian Islands, Alaska","(52.6933, -168.2432)"
ak,10557605,2,09/11/2012 06:00:48 AM,1.9,21.6,9,"Fox Islands, Aleutian Islands, Alaska","(52.7328, -168.2518)"
ak,10557584,2,09/11/2012 05:42:39 AM,2.2,41.2,8,"Fox Islands, Aleutian Islands, Alaska","(52.775, -168.3827)"
ak,10557582,3,09/11/2012 05:40:29 AM,1.4,121.1,14,Central Alaska,"(63.1265, -150.7201)"
us,c000cld6,8,09/11/2012 05:30:35 AM,2.6,34.9,4,"Fox Islands, Aleutian Islands, Alaska","(52.7537, -168.2247)"
pr,12255003,0,09/11/2012 05:29:54 AM,3.8,138,12,Dominican Republic,"(18.8103, -68.7841)"
us,c000cld0,3,09/11/2012 05:23:58 AM,2.8,17.1,8,"Fox Islands, Aleutian Islands, Alaska","(52.9177, -168.2121)"
ak,10557543,3,09/11/2012 05:14:48 AM,2.7,75.1,59,Southern Alaska,"(59.4544, -152.7082)"
nc,71840910,3,09/11/2012 05:10:42 AM,1.7,2.7,71,Central California,"(35.5833, -120.8372)"
ak,10559414,2,09/11/2012 05:05:09 AM,2.1,38.8,8,"Fox Islands, Aleutian Islands, Alaska","(52.7534, -168.3496)"
ak,10557528,2,09/11/2012 05:04:20 AM,2.6,41.1,10,"Fox Islands, Aleutian Islands, Alaska","(52.7222, -168.3312)"
ak,10557524,2,09/11/2012 05:01:00 AM,2.5,41.5,12,"Fox Islands, Aleutian Islands, Alaska","(52.7083, -168.2444)"
ak,10557522,2,09/11/2012 04:59:23 AM,3.1,56.4,16,"Fox Islands, Aleutian Islands, Alaska","(52.8304, -168.566)"
ak,10557520,2,09/11/2012 04:56:41 AM,1.9,3.7,7,"Rat Islands, Aleutian Islands, Alaska","(51.9606, 178.5259)"
ak,10557518,2,09/11/2012 04:54:34 AM,3.1,41.7,9,"Fox Islands, Aleutian Islands, Alaska","(52.7603, -168.3634)"
us,2012fja6,6,09/11/2012 04:52:56 AM,4,34.3,32,"Fox Islands, Aleutian Islands, Alaska","(52.836, -168.4107)"
nc,71840900,0,09/11/2012 04:51:38 AM,1,2.4,14,Northern California,"(38.8065, -122.8155)"
ak,10557503,2,09/11/2012 04:48:50 AM,3.1,3,12,"Fox Islands, Aleutian Islands, Alaska","(52.8211, -169.7084)"
ak,10559406,2,09/11/2012 04:47:07 AM,1.9,18,7,"Fox Islands, Aleutian Islands, Alaska","(52.6972, -168.2321)"
nc,71840890,9,09/11/2012 04:44:33 AM,3.1,10.5,65,offshore Northern California,"(38.7923, -123.5788)"
ak,10559405,2,09/11/2012 04:44:21 AM,2.7,19.3,9,"Fox Islands, Aleutian Islands, Alaska","(52.6516, -168.2079)"
us,2012fja1,A,09/11/2012 04:42:38 AM,4.2,53.4,58,"Fox Islands, Aleutian Islands, Alaska","(52.9018, -168.3234)"
ak,10557488,2,09/11/2012 04:40:58 AM,1.5,43,18,"Kenai Peninsula, Alaska","(60.7043, -150.2414)"
us,c000clae,D,09/11/2012 04:36:49 AM,5.8,3.4,355,south of the Mariana Islands,"(11.84, 143.1973)"
ci,15214081,2,09/11/2012 04:17:06 AM,1.2,0,35,Southern California,"(34.339, -116.877)"
ak,10559402,2,09/11/2012 04:10:20 AM,2.7,3.3,8,"Rat Islands, Aleutian Islands, Alaska","(51.9599, 178.5256)"
nm,091212b,A,09/11/2012 03:51:41 AM,1.3,9.1,12,southeastern Missouri,"(36.4853, -89.5627)"
ci,15214073,2,09/11/2012 03:31:06 AM,1,4.6,27,Central California,"(35.9743, -117.8653)"
nc,71840855,0,09/11/2012 03:13:09 AM,1,6.6,12,Northern California,"(38.896, -122.7865)"
ak,10557428,2,09/11/2012 03:06:38 AM,1.1,35.3,10,Southern Alaska,"(61.5348, -149.8463)"
us,2012fjaw,5,09/11/2012 02:57:53 AM,4.4,39.5,140,"Fox Islands, Aleutian Islands, Alaska","(51.9135, -171.404)"
ak,10557418,2,09/11/2012 02:47:37 AM,1.4,12.5,15,Southern Alaska,"(61.477, -150.6006)"
nm,091112a,A,09/11/2012 02:44:31 AM,1.9,8.6,16,southeastern Missouri,"(36.3691, -89.523)"
ci,37090140,2,09/11/2012 02:41:26 AM,1.5,10.7,20,"Baja California, Mexico","(32.5213, -115.644)"
nc,71840850,2,09/11/2012 02:37:31 AM,1.1,0,30,Central California,"(36.0312, -120.606)"
ak,10557409,2,09/11/2012 02:30:51 AM,2.3,71.4,30,Southern Alaska,"(59.1548, -152.9065)"
hv,60396546,1,09/11/2012 02:23:03 AM,3.2,3.6,49,"Island of Hawaii, Hawaii","(19.3865, -155.2467)"
